"id","date","artists","details","info","location","title"
"5-44","2016-11-05 11:00:00 +0200","Petite conférence ","dès 10 ans","","Grand-Théâtre, Salon Boireau","LUMIÈRES POUR ENFANTS"
"6-46","2016-11-06 11:00:00 +0200","Dominique Baudouin / Thomas Lachaise / Jérôme Simonpoli / Sandrine Vasseur","","","Grand-Théâtre de Bordeaux","QUATUOR D’ANCHES DE L’ONBA"
"6-48","2016-11-06 15:00:00 +0200","Christoph Willibald Gluck","","","Auditorium de l'Opéra de Bordeaux","ARMIDE"
"7-50","2016-11-07 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"8-52","2016-11-08 19:30:00 +0200","","","","Philharmonie de Paris","ARMIDE DE GLUCK"
"8-54","2016-11-08 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"9-56","2016-11-09 17:30:00 +0200","","","","Bordeaux","LA MÉDITERRANÉE À L’HONNEUR"
"9-58","2016-11-09 19:00:00 +0200","Sergueï Prokofiev","dès 6 ans","","Auditorium de l'Opéra de Bordeaux","PIERRE ET LE LOUP"
"9-60","2016-11-09 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"10-62","2016-11-10 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"11-64","2016-11-11 11:00:00 +0200","Sergueï Prokofiev","dès 6 ans","","Auditorium de l'Opéra de Bordeaux","PIERRE ET LE LOUP"
"11-66","2016-11-11 15:00:00 +0200","Sergueï Prokofiev","dès 6 ans","","Auditorium de l'Opéra de Bordeaux","PIERRE ET LE LOUP"
"12-68","2016-11-12 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"13-70","2016-11-13 10:30:00 +0200","Visite du bâtiment… et de ses habitants","dès 7 ans","","Grand-Théâtre de Bordeaux","VISITES À TOUS LES ÉTAGES !"
"13-72","2016-11-13 15:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"14-74","2016-11-14 20:00:00 +0200","Mauricio Wainrot / Philip Glass","","","Grand-Théâtre de Bordeaux","LA TEMPÊTE"
"15-76","2016-11-15 18:00:00 +0200","","","","Grand Théâtre - Salon Fouquet","A PROPOS D’EGMONT DE BEETHOVEN"
"15-78","2016-11-15 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","BORIS BEREZOVSKI"
"15-80","2016-11-15 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"16-82","2016-11-16 19:00:00 +0200","","","","Grand-Théâtre de Bordeaux","CHŒURS D'OPÉRA"
"17-84","2016-11-17 20:00:00 +0200","ONBA / Paul Daniel / Nicholas Angelich / Chloé Briot / Marcial Di Fonzo Bo","","","Auditorium de l'Opéra de Bordeaux","BEETHOVEN"
"17-86","2016-11-17 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"18-88","2016-11-18 12:30:00 +0200","","","","Grand-Théâtre de Bordeaux","FLORIAN SEMPEY"
"18-90","2016-11-18 19:00:00 +0200","EVERYDAY","","","Auditorium de l'Opéra de Bordeaux","YARON HERMAN"
"18-92","2016-11-18 19:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"19-94","2016-11-19 15:00:00 +0200","","","","Grand-Théâtre, Salon Lalande","LES FILLES DU RHIN PAR L’ENSEMBLE PYGMALION"
"19-96","2016-11-19 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","PAUL BADURA-SKODA"
"19-98","2016-11-19 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"19-100","2016-11-19 20:30:00 +0200","","","du 18 au 20 novembre","France","Orchestres en Fête"
"19-102","2016-11-19 20:30:00 +0200","","","","Philharmonie de Paris","BEETHOVEN"
"20-104","2016-11-20 11:00:00 +0200","Mozart, Tchaïkovski, Schumann","","","Auditorium de l'Opéra de Bordeaux","PAVEL KOLESNIKOV"
"20-106","2016-11-20 11:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"22-108","2016-11-22 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","l'esprit du piano"
"22-110","2016-11-22 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","GUILLAUME VINCENT & ISMAEL MARGAIN"
"23-112","2016-11-23 17:30:00 +0200","","","","Bordeaux","CONCERT SURPRISE"
"23-114","2016-11-23 18:00:00 +0200","","","","Grand Théâtre - Salon Fouquet","AU SUJET DU CONCERTO POUR ALTO DE BARTÓK"
"24-116","2016-11-24 20:00:00 +0200","ONBA / Sascha Goetzel / Antoine Tamestit","","","Auditorium de l'Opéra de Bordeaux","RAVEL / BARTÓK / DVOŘÁK"
"25-118","2016-11-25 20:00:00 +0200","ONBA / Sascha Goetzel / Antoine Tamestit","","","Auditorium de l'Opéra de Bordeaux","RAVEL / BARTÓK / DVOŘÁK"
"25-120","2016-11-25 20:30:00 +0200","","","","Marcheprime","LES GRANDS MOMENTS DE L’OPÉRA FRANÇAIS"
"27-122","2016-11-27 16:00:00 +0200","","","","Anglet","RAVEL / DVOŘÁK"
"27-124","2016-11-27 17:00:00 +0200","","","","Bruges","CONCERT FAMILLE EN 10 LANGUES"
"27-126","2016-11-27 17:30:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","EUFONIA"
"29-128","2016-11-29 18:00:00 +0200","","","","Grand Théâtre - Salon Fouquet","A PROPOS DE L’HEURE ESPAGNOLE DE RAVEL"
"1-130","2016-12-01 20:00:00 +0200","ONBA / Paul Daniel","","","Auditorium de l'Opéra de Bordeaux","RAVEL / DEBUSSY"
"2-132","2016-12-02 19:00:00 +0200","ONBA / Paul Daniel","","","Auditorium de l'Opéra de Bordeaux","RAVEL / DEBUSSY"
"2-134","2016-12-02 20:30:00 +0200","","","","Angoulême","PETITE MESSE SOLENNELLE DE ROSSINI"
"3-136","2016-12-03 18:00:00 +0200","Le Boléro de Ravel","dès 9 ans","","Auditorium de l'Opéra de Bordeaux","À LA DÉCOUVERTE DE L’ORCHESTRE"
"4-138","2016-12-04 11:00:00 +0200","Tristan Liehr / Cécile Coppola / Cécile Berry / Aurélienne Brauner","","","Grand-Théâtre de Bordeaux","MUSICIENS DE L’ONBA"
"4-140","2016-12-04 15:00:00 +0200","MENDELSSOHN","","","Auditorium de l'Opéra de Bordeaux","ELIAS"
"6-142","2016-12-06 20:00:00 +0200","","","","Auditorium de l'Opéra de Bordeaux","GAUTIER CAPUÇON / FRANK BRALEY"
"10-144","2016-12-10 16:00:00 +0200","","","","Bordeaux","LES DEUX AVEUGLES ET POMME D’API"
"12-146","2016-12-12 18:00:00 +0200","","","","Grand Théâtre - Salon Fouquet","AUTOUR DU CHŒUR DE L’OPÉRA NATIONAL DE BORDEAUX"
"13-148","2016-12-13 18:00:00 +0200","","","","Grand-Théâtre de Bordeaux","RENCONTRE AVEC LES ARTISTES : Coppélia"
"14-150","2016-12-14 20:00:00 +0200","Charles Jude / Léo Delibes","","","Grand-Théâtre de Bordeaux","COPPÉLIA"
"15-152","2016-12-15 20:00:00 +0200","","","","Grand-Théâtre de Bordeaux","COPPÉLIA (audiodescription)"
"15-154","2016-12-15 20:00:00 +0200","NOËL À BROADWAY","","","Auditorium de l'Opéra de Bordeaux","RADIO CLASSIQUE CONCERT DE NOËL"
"16-156","2016-12-16 19:00:00 +0200","NOËL À BROADWAY","","","Auditorium de l'Opéra de Bordeaux","RADIO CLASSIQUE CONCERT DE NOËL"
"16-158","2016-12-16 20:00:00 +0200","Charles Jude / Léo Delibes","","","Grand-Théâtre de Bordeaux","COPPÉLIA"
"17-160","2016-12-17 18:30:00 +0200","","","","Mont-de-Marsan","PROGRAMME DE NOËL"
"17-162","2016-12-17 20:00:00 +0200","Orchestre Français des Jeunes / David Zinman / Marc Coppey","","","Auditorium de l'Opéra de Bordeaux","HONEGGER / DUTILLEUX / RACHMANINOV"
"18-164","2016-12-18 15:00:00 +0200","Charles Jude / Léo Delibes","","","Grand-Théâtre de Bordeaux","COPPÉLIA"
